id;nom;prenom;telephone
1;reciprocal payment;Kuwait;76676
2;Fresh architecture invoice;parse networks;27648
3;array;foreground strategy Metrics;38679
4;world-class Integration;interfaces;72818
5;Handcrafted Rubber Car fault-tolerant Internal;online Kids neural;26587
6;Springs Checking Account;superstructure parsing Ergonomic;77472
7;morph Legacy;e-markets Cambridgeshire;14671
8;Wooden;Associate Solomon Islands Dollar;81203
9;Wooden grey;connect Avon;10215
10;Avon Handmade paradigms;transitional Idaho Villages;67206
