id;nom;prenom;telephone;num_cni
1;West Virginia Cotton;Bangladesh;25435;83952
2;gold Product;bluetooth motivating Points;12683;13051
3;Afghanistan Saint Pierre and Miquelon;Fully-configurable Avon Grocery;27412;99308
4;Buckinghamshire Ford solid state;invoice hub Table;57614;46239
5;utilisation;mesh;50785;92176
6;Argentina system Bermuda;benchmark customized;39800;30717
7;Montana impactful Administrator;cross-media Universal;17737;84972
8;invoice Future;Grass-roots Lead;10927;67259
9;Refined;implement Massachusetts;60037;76557
10;Tasty Fresh Bike groupware;enterprise;59469;23164
